bet_number,bet_side,model_prob,edge,bet_amount,profit,result
46,home,0.5374334,0.037433386,100,100,win
47,home,0.6563995,0.15639949,100,-100,loss
48,home,0.7820809,0.2820809,100,100,win
49,home,0.91513115,0.41513115,100,100,win
50,away,0.11810629,0.3818937,100,100,win
51,away,0.15194696,0.34805304,100,-100,loss
52,away,0.07466861,0.4253314,100,100,win
53,home,0.87519795,0.37519795,100,100,win
54,home,0.9532128,0.4532128,100,-100,loss
55,away,0.15353882,0.34646118,100,100,win
56,home,0.7001545,0.20015448,100,-100,loss
57,away,0.2740468,0.22595322,100,100,win
58,home,0.95421183,0.45421183,100,100,win
59,home,0.652524,0.152524,100,100,win
60,home,0.5648119,0.064811885,100,100,win
61,home,0.8853348,0.3853348,100,100,win
62,away,0.07798657,0.4220134,100,100,win
63,away,0.313462,0.18653798,100,-100,loss
64,away,0.06733093,0.43266904,100,-100,loss
65,home,0.7776509,0.2776509,100,100,win
66,home,0.98687994,0.48687994,100,-100,loss
67,away,0.10895463,0.3910454,100,100,win
68,away,0.2836837,0.21631634,100,100,win
69,home,0.80360186,0.30360186,100,-100,loss
70,home,0.69351035,0.19351035,100,100,win
71,away,0.13317668,0.36682332,100,100,win
72,away,0.21583347,0.2841665,100,-100,loss
73,away,0.15984118,0.34015882,100,-100,loss
74,away,0.34545857,0.15454143,100,100,win
75,away,0.16220418,0.33779585,100,-100,loss
76,away,0.116801515,0.3831985,100,100,win
77,home,0.5448936,0.044893622,100,-100,loss
78,home,0.7982971,0.2982971,100,100,win
79,home,0.54611444,0.046114445,100,-100,loss
80,home,0.97690034,0.47690034,100,100,win
81,away,0.42434216,0.075657845,100,100,win
82,home,0.98754555,0.48754555,100,100,win
83,away,0.30833572,0.19166428,100,-100,loss
84,away,0.04505782,0.45494217,100,-100,loss
85,away,0.4710855,0.028914511,100,100,win
86,away,0.08506436,0.41493565,100,-100,loss
87,away,0.18338563,0.3166144,100,100,win
88,home,0.83249205,0.33249205,100,-100,loss
89,away,0.044453707,0.45554632,100,100,win
90,away,0.30572584,0.19427419,100,100,win
92,away,0.1553644,0.3446356,100,-100,loss
93,home,0.93824714,0.43824714,100,100,win
94,home,0.9750524,0.47505242,100,100,win
95,home,0.632018,0.13201803,100,100,win
96,home,0.8929901,0.3929901,100,100,win
97,away,0.03260176,0.46739823,100,100,win
98,away,0.34460065,0.15539932,100,-100,loss
99,away,0.05162995,0.44837004,100,-100,loss
100,away,0.07290569,0.42709434,100,100,win
101,home,0.9174908,0.41749078,100,-100,loss
102,away,0.34494656,0.15505344,100,100,win
103,home,0.59940153,0.09940153,100,100,win
104,away,0.13372551,0.36627448,100,100,win
105,home,0.5653463,0.0653463,100,100,win
106,home,0.84764004,0.34764004,100,-100,loss
107,home,0.9724506,0.4724506,100,100,win
108,away,0.09606579,0.40393424,100,100,win
109,home,0.7657366,0.26573658,100,100,win
110,home,0.9549155,0.45491552,100,100,win
111,away,0.17537823,0.3246218,100,-100,loss
112,away,0.41227278,0.08772719,100,-100,loss
113,away,0.04826962,0.45173037,100,-100,loss
114,home,0.75649637,0.25649637,100,-100,loss
115,away,0.37682566,0.12317431,100,-100,loss
116,home,0.71808225,0.21808225,100,100,win
117,away,0.07656478,0.4234352,100,-100,loss
118,home,0.7828317,0.28283173,100,100,win
119,home,0.7936696,0.29366958,100,100,win
120,away,0.21340775,0.28659225,100,100,win
121,home,0.9767899,0.4767899,100,100,win
122,away,0.08872674,0.41127324,100,-100,loss
123,home,0.92909837,0.42909837,100,100,win
124,home,0.9219365,0.4219365,100,100,win
125,away,0.47124952,0.02875048,100,-100,loss
126,home,0.75508386,0.25508386,100,100,win
127,home,0.77268535,0.27268535,100,100,win
128,home,0.98486984,0.48486984,100,100,win
129,home,0.9420125,0.4420125,100,100,win
130,away,0.4103594,0.08964062,100,-100,loss
131,away,0.15917781,0.34082222,100,-100,loss
132,away,0.4506412,0.049358785,100,-100,loss
133,away,0.14884038,0.35115963,100,100,win
134,home,0.9130886,0.41308862,100,100,win
135,away,0.12654302,0.37345695,100,100,win
136,home,0.9459545,0.4459545,100,-100,loss
137,away,0.38043174,0.11956823,100,100,win
138,home,0.97886527,0.47886527,100,100,win
139,home,0.9544788,0.4544788,100,100,win
140,home,0.9901266,0.4901266,100,100,win
141,home,0.95007515,0.45007515,100,100,win
142,home,0.91171515,0.41171515,100,-100,loss
143,home,0.7327516,0.23275161,100,100,win
144,away,0.4215075,0.07849252,100,100,win
145,away,0.37494642,0.12505358,100,100,win
146,home,0.8550439,0.3550439,100,100,win
147,home,0.5781969,0.07819688,100,-100,loss
148,home,0.9086006,0.40860063,100,-100,loss
149,away,0.47100344,0.028996587,100,-100,loss
150,away,0.44906124,0.050938725,100,100,win
151,home,0.6286181,0.12861812,100,-100,loss
152,away,0.3309641,0.16903591,100,100,win
153,home,0.66540295,0.16540295,100,100,win
154,home,0.97890717,0.47890717,100,100,win
155,away,0.36747557,0.13252443,100,-100,loss
156,home,0.95127904,0.45127904,100,100,win
157,home,0.54778826,0.047788262,100,100,win
158,away,0.2263,0.2737,100,100,win
159,home,0.9676532,0.46765321,100,100,win
160,home,0.93420863,0.43420863,100,-100,loss
161,home,0.9178645,0.4178645,100,100,win
162,away,0.24130912,0.2586909,100,100,win
163,home,0.7038577,0.20385772,100,100,win
164,home,0.9908214,0.49082142,100,100,win
165,away,0.21202123,0.28797877,100,-100,loss
166,home,0.5710994,0.0710994,100,100,win
167,away,0.3141903,0.18580973,100,-100,loss
168,away,0.41190672,0.08809328,100,100,win
169,home,0.6388262,0.13882619,100,-100,loss
170,away,0.09721435,0.40278566,100,100,win
171,home,0.9637649,0.4637649,100,100,win
173,home,0.81081903,0.31081903,100,100,win
174,home,0.92002743,0.42002743,100,100,win
175,home,0.58633196,0.08633196,100,100,win
176,away,0.43030912,0.06969088,100,-100,loss
177,home,0.59222895,0.09222895,100,-100,loss
178,home,0.99183464,0.49183464,100,100,win
179,away,0.093585394,0.40641463,100,-100,loss
180,away,0.4204771,0.07952291,100,100,win
181,away,0.3898956,0.11010444,100,-100,loss
182,home,0.72188246,0.22188246,100,100,win
183,home,0.95759326,0.45759326,100,100,win
184,home,0.9567837,0.4567837,100,100,win
185,away,0.32013613,0.17986387,100,100,win
186,home,0.77274376,0.27274376,100,-100,loss
187,home,0.8954889,0.39548892,100,100,win
188,away,0.10784443,0.3921556,100,-100,loss
189,home,0.82157767,0.32157767,100,100,win
191,away,0.44668132,0.05331868,100,-100,loss
192,home,0.95088416,0.45088416,100,100,win
193,home,0.9930306,0.4930306,100,-100,loss
194,home,0.5240603,0.024060309,100,-100,loss
195,home,0.9565676,0.4565676,100,100,win
196,home,0.8383396,0.33833963,100,100,win
197,home,0.9792706,0.47927058,100,100,win
198,away,0.25198475,0.24801528,100,100,win
199,home,0.9474513,0.4474513,100,100,win
200,home,0.74010944,0.24010944,100,100,win
201,away,0.4757193,0.024280667,100,-100,loss
202,home,0.87966454,0.37966454,100,100,win
203,home,0.9061701,0.40617013,100,-100,loss
204,away,0.33488333,0.16511667,100,100,win
205,home,0.7478733,0.2478733,100,100,win
206,home,0.61099607,0.11099607,100,100,win
207,home,0.98135054,0.48135054,100,100,win
208,home,0.9074111,0.4074111,100,100,win
209,away,0.2317185,0.26828152,100,-100,loss
210,home,0.7583894,0.2583894,100,-100,loss
211,home,0.62535536,0.12535536,100,100,win
212,home,0.60935813,0.10935813,100,100,win
213,home,0.54420465,0.044204652,100,-100,loss
214,home,0.69489586,0.19489586,100,100,win
215,away,0.30576053,0.1942395,100,-100,loss
216,home,0.87870204,0.37870204,100,100,win
217,home,0.9329884,0.4329884,100,100,win
218,home,0.68890715,0.18890715,100,100,win
219,home,0.6662207,0.16622072,100,100,win
220,away,0.16397609,0.33602393,100,100,win
221,home,0.6058111,0.10581112,100,100,win
222,home,0.99470997,0.49470997,100,100,win
223,home,0.9511057,0.4511057,100,100,win
224,home,0.83094835,0.33094835,100,100,win
225,away,0.26531535,0.23468465,100,-100,loss
226,away,0.1544911,0.34550893,100,-100,loss
227,home,0.8507219,0.3507219,100,100,win
228,home,0.60830986,0.108309865,100,-100,loss
229,away,0.31687346,0.18312657,100,100,win
230,home,0.80625874,0.30625874,100,100,win
231,away,0.35207778,0.14792222,100,-100,loss
232,home,0.97082496,0.47082496,100,-100,loss
233,home,0.6987159,0.19871593,100,100,win
234,away,0.2594153,0.24058473,100,-100,loss
235,home,0.73650515,0.23650515,100,100,win
236,away,0.23120958,0.26879042,100,100,win
237,away,0.34629968,0.15370035,100,-100,loss
238,home,0.6641258,0.1641258,100,100,win
239,away,0.20966539,0.29033458,100,100,win
240,away,0.40491566,0.09508431,100,100,win
241,home,0.9685191,0.4685191,100,100,win
242,away,0.34535146,0.15464854,100,-100,loss
243,away,0.3928998,0.10710019,100,100,win
244,home,0.8735128,0.3735128,100,-100,loss
245,home,0.9748241,0.47482407,100,100,win
246,away,0.15937853,0.34062147,100,100,win
247,home,0.95354205,0.45354205,100,100,win
248,home,0.78024226,0.28024226,100,100,win
249,home,0.96661514,0.46661514,100,100,win
250,away,0.14276965,0.35723037,100,100,win
251,home,0.87888974,0.37888974,100,100,win
252,home,0.87545854,0.37545854,100,100,win
253,home,0.96206903,0.46206903,100,-100,loss
254,home,0.63312906,0.13312906,100,100,win
255,home,0.7959627,0.2959627,100,100,win
256,home,0.84787464,0.34787464,100,-100,loss
257,home,0.96710503,0.46710503,100,-100,loss
258,away,0.14307466,0.35692537,100,100,win
259,away,0.16287877,0.33712125,100,100,win
260,away,0.20334849,0.29665148,100,100,win
261,home,0.7256705,0.22567052,100,-100,loss
263,away,0.21322952,0.28677046,100,-100,loss
264,away,0.25263172,0.24736828,100,100,win
265,home,0.66214424,0.16214424,100,-100,loss
266,away,0.13384779,0.36615223,100,100,win
267,home,0.7753212,0.2753212,100,100,win
268,away,0.30587164,0.1941284,100,100,win
269,away,0.3927782,0.10722184,100,100,win
270,away,0.3406801,0.15931988,100,100,win
271,home,0.82485515,0.32485515,100,-100,loss
272,away,0.16451135,0.33548868,100,100,win
273,home,0.6090099,0.10900992,100,100,win
274,away,0.12676342,0.3732366,100,-100,loss
275,away,0.22191843,0.27808154,100,100,win
276,away,0.13944729,0.36055273,100,100,win
278,home,0.7125496,0.21254963,100,-100,loss
279,home,0.7813817,0.28138173,100,100,win
280,away,0.17101073,0.32898927,100,100,win
281,home,0.636924,0.13692403,100,100,win
283,away,0.23733701,0.262663,100,-100,loss
284,away,0.14577286,0.35422713,100,100,win
285,away,0.1380285,0.3619715,100,100,win
286,away,0.44592214,0.054077864,100,-100,loss
287,home,0.8957314,0.3957314,100,100,win
288,home,0.9574232,0.4574232,100,100,win
289,away,0.20172517,0.29827482,100,100,win
290,away,0.35939115,0.14060885,100,100,win
291,home,0.9748795,0.4748795,100,-100,loss
292,away,0.24322784,0.25677216,100,-100,loss
293,home,0.86137384,0.36137384,100,-100,loss
294,home,0.9193997,0.41939968,100,-100,loss
295,away,0.1750682,0.3249318,100,100,win
296,away,0.1839333,0.31606668,100,-100,loss
297,home,0.70646906,0.20646906,100,100,win
298,home,0.84667313,0.34667313,100,100,win
299,away,0.40105325,0.09894675,100,-100,loss
300,away,0.46838188,0.03161812,100,-100,loss
301,away,0.26092553,0.23907447,100,-100,loss
302,away,0.28251514,0.21748483,100,100,win
303,home,0.93003994,0.43003994,100,100,win
304,home,0.92738783,0.42738783,100,100,win
305,home,0.7766704,0.2766704,100,100,win
306,home,0.89862645,0.39862645,100,100,win
307,home,0.62134314,0.121343136,100,100,win
308,away,0.42954507,0.070454955,100,-100,loss
309,home,0.9838276,0.4838276,100,100,win
310,home,0.525467,0.025466979,100,100,win
311,away,0.39534092,0.10465908,100,100,win
312,away,0.048432123,0.4515679,100,-100,loss
313,home,0.9487142,0.4487142,100,100,win
314,away,0.46969974,0.03030026,100,-100,loss
315,away,0.34371498,0.15628505,100,100,win
316,home,0.65601593,0.15601593,100,100,win
317,away,0.17736146,0.3226385,100,-100,loss
