number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_std_logloss,state
133,0.6590595884882295,2025-12-10 15:47:26.603284,2025-12-10 15:47:29.387378,0 days 00:00:02.784094,0.8311813168790185,0.8430735560518373,0.6073369166408752,1.4795239817302832,0.012342962543972047,9,9,83,3261,0.08178630808157104,0.027419880629991348,1.00202751454123,0.6991212289035287,450,0.005239758107358641,COMPLETE
134,0.6588444750443987,2025-12-10 15:47:29.389383,2025-12-10 15:47:31.927052,0 days 00:00:02.537669,0.8208954415924636,0.8166180665196013,0.6234276867190436,0.12672009684381447,0.016097976793833207,1,10,81,3358,0.06000830738156812,0.004589681721264493,1.024337050204265,0.41879488624061545,492,0.005613837882512744,COMPLETE
135,0.6596502521434014,2025-12-10 15:47:31.929055,2025-12-10 15:47:33.947737,0 days 00:00:02.018682,0.8614361123001136,0.8709632778255516,0.592129851886399,0.04882244129187857,0.016488606163529367,1,10,76,3381,0.06519055528045677,0.002144259742006997,1.028216922199622,0.43138146123664767,359,0.0042977670951763036,COMPLETE
136,0.6629353409939087,2025-12-10 15:47:33.947737,2025-12-10 15:47:36.507664,0 days 00:00:02.559927,0.8393963007762069,0.8009120211004611,0.6218276417196503,12.90788887449202,0.017593887190827877,4,10,79,3042,0.0505948013014135,0.00556394719932028,1.0532612162255672,0.7831752661156445,677,0.003651582546281123,COMPLETE
137,0.6590388335812666,2025-12-10 15:47:36.509669,2025-12-10 15:47:39.036760,0 days 00:00:02.527091,0.7064300909373212,0.9203165040964053,0.5762067368241127,0.27307189312822633,0.013792145163554507,1,11,92,3188,0.1275507758594301,0.004122712132667445,0.9857823949910036,0.7681313305222903,390,0.004764489500051556,COMPLETE
138,0.659973976718829,2025-12-10 15:47:39.036760,2025-12-10 15:47:42.002084,0 days 00:00:02.965324,0.7828699116370643,0.9023074354888485,0.6002550720346383,6.745887424347475,0.015255193700882571,6,10,36,3347,0.08277895904592458,0.0014376993308358621,0.9702351415577505,0.797036517163508,684,0.004975513615068924,COMPLETE
139,0.6620234847340755,2025-12-10 15:47:42.004086,2025-12-10 15:47:43.837750,0 days 00:00:01.833664,0.8266231235578614,0.7236420074575618,0.6181248824760569,0.8867393987715539,0.018755901897183534,2,8,16,3527,0.035644034427353935,0.00019795758410440042,1.041685111214651,0.45652827490364606,145,0.003885180862863937,COMPLETE
140,0.6593901138827668,2025-12-10 15:47:43.839503,2025-12-10 15:47:45.093147,0 days 00:00:01.253644,0.8510058651808803,0.7809147118573494,0.6428346388385691,4.310600956212543,0.03267344500215519,1,7,44,1385,0.019535576933632767,0.002880825380199578,1.064752716028047,0.4040764076975385,177,0.005919903489643146,COMPLETE
141,0.659453713222143,2025-12-10 15:47:45.095151,2025-12-10 15:47:47.303324,0 days 00:00:02.208173,0.6220301031923907,0.918850078639347,0.5749110264413596,0.23453974190428417,0.013419785797614107,1,11,86,3182,0.12305650983003698,0.00454822369146272,0.9951338336875897,0.947995153933727,309,0.00473372910041143,COMPLETE
142,0.6590831579865757,2025-12-10 15:47:47.305336,2025-12-10 15:47:49.272919,0 days 00:00:01.967583,0.7003232849296277,0.7407834889458388,0.5841704604566587,0.4615964701944468,0.02066187981207612,1,11,93,3118,0.09713880158673083,0.0037130300340129816,0.9853710454638132,0.7759240231121932,247,0.005073278901691039,COMPLETE
143,0.659831166713223,2025-12-10 15:47:49.274923,2025-12-10 15:47:54.250072,0 days 00:00:04.975149,0.8034731275133968,0.8830905640576393,0.5679313285438125,0.02171174682423166,0.014320698122112115,0,10,90,3241,0.13957193238783974,0.006802987095026883,1.020270077296074,0.42681345165601087,562,0.004689200723972221,COMPLETE
144,0.6594375670724519,2025-12-10 15:47:54.254084,2025-12-10 15:47:57.187559,0 days 00:00:02.933475,0.732344112365294,0.9277888872808603,0.5455393231176681,1.1247943521089847,0.0161828747061448,2,12,82,2990,0.05938273341016254,0.0018881402048729781,0.9753484706361947,0.7647144935689008,275,0.004466977323657568,COMPLETE
145,0.6596429398384002,2025-12-10 15:47:57.189561,2025-12-10 15:48:00.539573,0 days 00:00:03.350012,0.6521603213771406,0.9079050008394735,0.5028451184317522,0.4322114984822329,0.014120967630622996,1,8,95,3311,0.1694045957810237,0.0003148931409116653,0.9485123297286397,0.5059716840080455,691,0.005239057741901669,COMPLETE
146,0.6628507634290682,2025-12-10 15:48:00.541575,2025-12-10 15:48:01.365950,0 days 00:00:00.824375,0.6978170635502603,0.8540645715469305,0.5805505395075201,0.6822892433117062,0.13105405596800745,0,12,29,3458,0.04339842472783134,0.0051156078489206355,1.0136668352317226,0.7361020711102142,13,0.004629787816392452,COMPLETE
147,0.6605818229753028,2025-12-10 15:48:01.366949,2025-12-10 15:48:04.782146,0 days 00:00:03.415197,0.8733517619790157,0.8739423618482922,0.606876914879894,8.964659099977057,0.010463581742850255,2,9,47,3200,0.011281676062140205,0.0038026937124591544,0.9950770150591517,0.750570399072495,851,0.004342452857136551,COMPLETE
148,0.6597119295355708,2025-12-10 15:48:04.784148,2025-12-10 15:48:08.034239,0 days 00:00:03.250091,0.7118902868507705,0.8322353491455144,0.5605661992396833,1.403649220705566,0.009011978606614627,0,11,33,3070,0.026230942464771208,0.0009381980147398798,0.9637418282258023,0.7884589009415128,325,0.004694608943003082,COMPLETE
149,0.6596904059468409,2025-12-10 15:48:08.037244,2025-12-10 15:48:10.171525,0 days 00:00:02.134281,0.8396991387404047,0.8937599250196877,0.5932936492076542,2.608955250993274,0.023263689270803058,1,8,77,3383,0.6849027897061503,1.614755075918133,1.0284095598011758,0.7243841361916638,254,0.00562852853476168,COMPLETE
150,0.6603536309009057,2025-12-10 15:48:10.173527,2025-12-10 15:48:12.011229,0 days 00:00:01.837702,0.882215437266301,0.9401286836159403,0.5289023623203573,0.9452302289665273,0.0172010673855588,0,10,100,3146,0.07202507016477326,0.002396951374146069,0.9841870763154094,0.4779091566758334,333,0.004142991773243337,COMPLETE
151,0.6587925431396494,2025-12-10 15:48:12.013238,2025-12-10 15:48:14.641577,0 days 00:00:02.628339,0.8262601515923415,0.7728526026668601,0.6289360709108989,0.6967567565213174,0.012425484693561169,10,9,71,3628,0.4010463666467328,0.008079866836694889,1.0037611198914878,0.7123107976009755,392,0.005377827384021267,COMPLETE
152,0.6593579893924351,2025-12-10 15:48:14.644086,2025-12-10 15:48:16.975284,0 days 00:00:02.331198,0.8213011553103707,0.7670283378679422,0.6178500740726969,0.3762873305750608,0.012936197102514497,10,9,72,3297,0.40090363830761666,0.007090277518523268,1.004542254300595,0.4181968274345287,423,0.004586488057715256,COMPLETE
