number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
1297,0.5540004360648523,2025-12-12 04:58:36.905781,2025-12-12 04:58:49.714152,0 days 00:00:12.808371,0.5105198090873724,0.5056589758759331,0.5182119646126399,2.995859592607953,0.011213516729398923,9,9,24,2334,10.2503414288164,0.35881689043330894,0.9062502000121558,0.550985934577696,COMPLETE
1298,0.547672595523103,2025-12-12 04:58:49.716164,2025-12-12 04:59:17.288856,0 days 00:00:27.572692,0.5001757360130422,0.5142703394927015,0.5073581289768535,0.672019022830318,0.010020427061945069,9,9,25,2408,11.108409081471406,0.4953432908491134,0.9000866736829773,0.5656720398683088,COMPLETE
1299,0.5532152173753417,2025-12-12 04:59:17.290606,2025-12-12 04:59:30.505629,0 days 00:00:13.215023,0.5140606073949051,0.508541554754566,0.5184389243124069,2.99925765510743,0.010003540667686698,10,9,22,2271,9.159105622666157,0.26734152488786933,0.903547799524377,0.5533732477938569,COMPLETE
1300,0.5528560837559726,2025-12-12 04:59:30.507378,2025-12-12 04:59:43.450064,0 days 00:00:12.942686,0.5001029334459124,0.5151598364971334,0.5052411290940871,2.998903120303112,0.010813771172492123,9,9,23,2370,10.761691061643404,0.0855049935772767,0.9103083030291502,0.5311876531928366,COMPLETE
1301,0.5528583672854022,2025-12-12 04:59:43.452077,2025-12-12 05:00:00.541250,0 days 00:00:17.089173,0.5198512232568644,0.5057873316789984,0.5114976633619017,2.876847601231208,0.010003209648621378,9,9,24,2315,9.703787063769248,0.16725057098010307,0.9000591147381936,0.584113582454931,COMPLETE
1302,0.5528202362314703,2025-12-12 05:00:00.547049,2025-12-12 05:00:13.478450,0 days 00:00:12.931401,0.505910108201575,0.5110093873355519,0.5003949377428221,2.930055812764745,0.011163646370363075,9,9,25,2268,11.210482816128852,0.4083688246415089,0.90611730889382,0.5453974135426237,COMPLETE
1303,0.5545822296818679,2025-12-12 05:00:13.480464,2025-12-12 05:00:25.761675,0 days 00:00:12.281211,0.5106391323724595,0.5048807166645389,0.519026641809209,2.9993089947669866,0.010544046692001229,9,6,22,2203,10.523745509002868,0.21843766010421217,0.9035330553761995,0.5735619466806047,COMPLETE
1304,0.5523346358078243,2025-12-12 05:00:25.765695,2025-12-12 05:00:38.277923,0 days 00:00:12.512228,0.5196231277228834,0.5147341114120306,0.5203273972687692,2.942494755389884,0.011215184670977634,9,7,22,2181,10.057302404547535,0.16365389990764245,0.9102570199677411,0.5885513660732222,COMPLETE
1305,0.5513984807431573,2025-12-12 05:00:38.279941,2025-12-12 05:00:51.439990,0 days 00:00:13.160049,0.5147016149989246,0.6129291689067089,0.5201293344022642,2.9986521995346846,0.010752650211352466,9,8,22,2218,9.585051552184812,0.11970772215615506,0.9064932027120574,0.5774673098943193,COMPLETE
1306,0.5537250889694553,2025-12-12 05:00:51.444025,2025-12-12 05:01:05.993994,0 days 00:00:14.549969,0.5207104721113075,0.5159864021348255,0.516168558352875,2.9994729994745604,0.010844041095612158,10,6,22,2237,10.404944215564766,0.1860128997972406,0.9001309748794009,0.57633242441247,COMPLETE
