Date,Actual,Predicted,Model_Prob,Month
2024-12-23,1,1,0.9886615,2024-12
2024-12-23,1,1,0.99527895,2024-12
2024-12-23,0,1,0.94660497,2024-12
2024-12-23,0,0,0.09965542,2024-12
2024-12-23,1,1,0.99423945,2024-12
2024-12-23,1,1,0.6588094,2024-12
2024-12-23,1,0,0.29615715,2024-12
2024-12-23,1,0,0.07017256,2024-12
2024-12-23,1,1,0.9948297,2024-12
2024-12-23,0,0,0.008524491,2024-12
2024-12-23,1,1,0.99284005,2024-12
2024-12-25,1,0,0.035159394,2024-12
2024-12-25,0,0,0.38066745,2024-12
2024-12-25,0,0,0.11541914,2024-12
2024-12-25,1,1,0.9321583,2024-12
2024-12-25,0,1,0.6961095,2024-12
2024-12-26,0,0,0.0674629,2024-12
2024-12-26,0,0,0.0045340713,2024-12
2024-12-26,1,1,0.53180397,2024-12
2024-12-26,0,1,0.992183,2024-12
2024-12-26,0,0,0.03736615,2024-12
2024-12-26,1,0,0.1502102,2024-12
2024-12-26,1,1,0.9385103,2024-12
2024-12-26,0,1,0.71200067,2024-12
2024-12-26,1,1,0.9803155,2024-12
2024-12-27,1,1,0.9888657,2024-12
2024-12-27,0,0,0.064733036,2024-12
2024-12-27,1,1,0.9559501,2024-12
2024-12-27,0,0,0.31309286,2024-12
2024-12-27,0,1,0.67474693,2024-12
2024-12-27,0,0,0.019839164,2024-12
2024-12-27,0,0,0.15802331,2024-12
2024-12-27,0,0,0.27781972,2024-12
2024-12-28,0,1,0.6227978,2024-12
2024-12-28,1,1,0.64995915,2024-12
2024-12-28,1,0,0.12157722,2024-12
2024-12-28,1,1,0.95049316,2024-12
2024-12-28,0,0,0.054858997,2024-12
2024-12-28,1,0,0.03050634,2024-12
2024-12-28,0,0,0.0035218466,2024-12
2024-12-28,1,1,0.9138137,2024-12
2024-12-28,1,1,0.88337123,2024-12
2024-12-29,1,1,0.9615939,2024-12
2024-12-29,0,1,0.8355609,2024-12
2024-12-29,0,0,0.022502223,2024-12
2024-12-29,0,1,0.9454387,2024-12
2024-12-29,1,1,0.761956,2024-12
2024-12-29,1,0,0.3070637,2024-12
2024-12-30,0,0,0.032919727,2024-12
2024-12-30,0,0,0.038049612,2024-12
2024-12-30,0,0,0.12500234,2024-12
2024-12-30,1,0,0.34190306,2024-12
2024-12-30,0,0,0.008229242,2024-12
2024-12-30,0,1,0.54826534,2024-12
2024-12-30,0,0,0.038318854,2024-12
2024-12-31,1,1,0.99387276,2024-12
2024-12-31,0,0,0.023091557,2024-12
2024-12-31,1,1,0.6845807,2024-12
2024-12-31,1,1,0.99489427,2024-12
2024-12-31,0,0,0.3375573,2024-12
2024-12-31,0,0,0.08240471,2024-12
2025-01-01,1,0,0.3634636,2025-01
2025-01-01,1,1,0.5554106,2025-01
2025-01-01,1,1,0.99585164,2025-01
2025-01-01,1,0,0.11548324,2025-01
2025-01-01,1,1,0.9200498,2025-01
2025-01-01,1,1,0.9966234,2025-01
2025-01-01,1,1,0.52386856,2025-01
2025-01-01,1,1,0.9963497,2025-01
2025-01-02,1,1,0.909206,2025-01
2025-01-02,1,1,0.9927827,2025-01
2025-01-02,1,1,0.9800601,2025-01
2025-01-02,0,1,0.6157346,2025-01
2025-01-02,0,0,0.2786843,2025-01
2025-01-02,0,0,0.23362814,2025-01
2025-01-03,1,1,0.69901025,2025-01
2025-01-03,0,0,0.046212286,2025-01
2025-01-03,0,0,0.087251335,2025-01
2025-01-03,1,1,0.9671605,2025-01
2025-01-03,1,1,0.9426287,2025-01
2025-01-03,0,0,0.013943806,2025-01
2025-01-03,0,0,0.4515419,2025-01
2025-01-03,1,0,0.31870478,2025-01
2025-01-03,1,0,0.42410418,2025-01
2025-01-04,1,1,0.8818414,2025-01
2025-01-04,0,0,0.43020242,2025-01
2025-01-04,0,1,0.6447766,2025-01
2025-01-04,1,1,0.93415725,2025-01
2025-01-04,1,1,0.66928595,2025-01
2025-01-04,1,1,0.65133655,2025-01
2025-01-04,1,0,0.49394235,2025-01
2025-01-04,0,0,0.069670714,2025-01
2025-01-04,0,0,0.1263286,2025-01
2025-01-05,1,1,0.97176445,2025-01
2025-01-05,1,1,0.9970419,2025-01
2025-01-05,0,0,0.22050309,2025-01
2025-01-05,0,0,0.1418353,2025-01
2025-01-05,1,0,0.3325003,2025-01
2025-01-05,0,0,0.24589218,2025-01
2025-01-06,1,1,0.939662,2025-01
2025-01-06,1,1,0.724612,2025-01
2025-01-06,1,1,0.91191226,2025-01
2025-01-06,1,1,0.65898263,2025-01
2025-01-06,1,1,0.56278986,2025-01
2025-01-06,0,1,0.5300619,2025-01
2025-01-06,0,0,0.1053818,2025-01
2025-01-06,0,1,0.932368,2025-01
2025-01-06,0,0,0.02181932,2025-01
2025-01-07,0,0,0.38666117,2025-01
2025-01-07,0,1,0.6796512,2025-01
2025-01-07,0,1,0.7278788,2025-01
2025-01-07,0,0,0.36709884,2025-01
2025-01-07,0,0,0.044012863,2025-01
